TIMESTAMP,Calendrier,HTB
1,HCH,15.3
2,HCH,15.3
3,HCH,15.3
4,HCH,15.3
5,HCH,15.3
6,HCH,15.3
7,HCH,15.3
8,HPH,18
9,HPH,18
10,P,21.8
11,P,21.8
12,HPH,18
13,HPH,18
14,HPH,18
15,HPH,18
16,HPH,18
17,HPH,18
18,HPH,18
19,P,21.8
20,P,21.8
21,HPH,18
22,HPH,18
23,HPH,18
24,HCH,15.3
25,HCH,15.3
26,HCH,15.3
27,HCH,15.3
28,HCH,15.3
29,HCH,15.3
30,HCH,15.3
31,HCH,15.3
32,HPH,18
33,HPH,18
34,P,21.8
35,P,21.8
36,HPH,18
37,HPH,18
38,HPH,18
39,HPH,18
40,HPH,18
41,HPH,18
42,HPH,18
43,P,21.8
44,P,21.8
45,HPH,18
46,HPH,18
47,HPH,18
48,HCH,15.3
49,HCH,15.3
50,HCH,15.3
51,HCH,15.3
52,HCH,15.3
53,HCH,15.3
54,HCH,15.3
55,HCH,15.3
56,HPH,18
57,HPH,18
58,P,21.8
59,P,21.8
60,HPH,18
61,HPH,18
62,HPH,18
63,HPH,18
64,HPH,18
65,HPH,18
66,HPH,18
67,P,21.8
68,P,21.8
69,HPH,18
70,HPH,18
71,HPH,18
72,HCH,15.3
73,HCH,15.3
74,HCH,15.3
75,HCH,15.3
76,HCH,15.3
77,HCH,15.3
78,HCH,15.3
79,HCH,15.3
80,HPH,18
81,HPH,18
82,P,21.8
83,P,21.8
84,HPH,18
85,HPH,18
86,HPH,18
87,HPH,18
88,HPH,18
89,HPH,18
90,HPH,18
91,P,21.8
92,P,21.8
93,HPH,18
94,HPH,18
95,HPH,18
96,HCH,15.3
97,HCH,15.3
98,HCH,15.3
99,HCH,15.3
100,HCH,15.3
101,HCH,15.3
102,HCH,15.3
103,HCH,15.3
104,HPH,18
105,HPH,18
106,P,21.8
107,P,21.8
108,HPH,18
109,HPH,18
110,HPH,18
111,HPH,18
112,HPH,18
113,HPH,18
114,HPH,18
115,P,21.8
116,P,21.8
117,HPH,18
118,HPH,18
119,HPH,18
120,HCH,15.3
121,HCH,15.3
122,HCH,15.3
123,HCH,15.3
124,HCH,15.3
125,HCH,15.3
126,HCH,15.3
127,HCH,15.3
128,HPH,18
129,HPH,18
130,P,21.8
131,P,21.8
132,HPH,18
133,HPH,18
134,HPH,18
135,HPH,18
136,HPH,18
137,HPH,18
138,HPH,18
139,P,21.8
140,P,21.8
141,HPH,18
142,HPH,18
143,HPH,18
144,HCH,15.3
145,HCH,15.3
146,HCH,15.3
147,HCH,15.3
148,HCH,15.3
149,HCH,15.3
150,HCH,15.3
151,HCH,15.3
152,HPH,18
153,HPH,18
154,P,21.8
155,P,21.8
156,HPH,18
157,HPH,18
158,HPH,18
159,HPH,18
160,HPH,18
161,HPH,18
162,HPH,18
163,P,21.8
164,P,21.8
165,HPH,18
166,HPH,18
167,HPH,18
168,HCH,15.3
169,HCH,15.3
170,HCH,15.3
171,HCH,15.3
172,HCH,15.3
173,HCH,15.3
174,HCH,15.3
175,HCH,15.3
176,HPH,18
177,HPH,18
178,P,21.8
